id,province,district,property_type,bedrooms,baths,floor_area,floor_level,land_area,latitude,longitude,nearby_stations,nearby_station_distance,nearby_bus_stops,nearby_supermarkets,nearby_shops,year_built,facilities,price,is_train
8448321,Bangkok,Watthana,Condo,2.0,2.0,66,10.0,0.0,13.7219444078,100.5848502884,2,"[['E7 Ekkamai BTS', 270], ['E6 Thong Lo BTS', 800]]",,16.0,20,2011,"['Car Park', 'Community Garden', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",8500000.0,1
10936325,Bangkok,Watthana,Condo,1.0,1.0,49,8.0,0.0,13.741904,100.566949,3,"[['BL22 Sukhumvit MRT', 720], ['BL21 Phetchaburi MRT', 850], ['E4 Asok BTS', 900]]",,11.0,20,2012,"['CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",5900000.0,1
10927931,Bangkok,Khlong Toei,Condo,1.0,1.0,34,4.0,0.0,13.7253952835,100.5656595582,2,"[['E5 Phrom Phong BTS', 650], ['BL23 Queen Sirikit National Convention Centre MRT', 770]]",,20.0,20,2017,"['Car Park', 'Clubhouse', 'Community Garden', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",6290000.0,1
11004792,Nonthaburi,Bang Kruai,Detached House,3.0,3.0,170,0.0,248.0,13.8216875,100.4284375,0,,,2.0,4,0,"['Covered car park', 'Playground', '24 hours security', 'Swimming pool']",8900000.0,1
10757452,Nonthaburi,Mueang Nonthaburi,Townhouse,3.0,2.0,120,0.0,72.0,13.8658492,100.4941285,1,"[['PP09 Yaek Nonthaburi 1 MRT', 10]]",,6.0,15,0,"['Covered car park', '24 hours security']",2390000.0,1
10879034,Bangkok,Bang Rak,Condo,1.0,1.0,54,6.0,0.0,13.726234999999999,100.516179,3,"[['G2 Charoen Nakhon BTS', 820], ['S6 Saphan Taksin BTS', 860], ['S5 Surasak BTS', 960]]",,14.0,20,2014,"['CCTV', 'Fitness corner', '24 hours security', 'Sky Lounge', 'Swimming pool']",8549000.0,1
10829681,Nonthaburi,Pak Kret,Condo,2.0,1.0,59,4.0,0.0,13.914101,100.506769,0,,20.0,2.0,9,2014,"['Car Park', 'Clubhouse', 'Community Garden', 'CCTV', 'Fitness corner', 'Mini-Mart', 'Sauna', '24 hours security', 'Swimming pool']",1950000.0,1
10615656,Bangkok,Sai Mai,Townhouse,2.0,2.0,105,0.0,72.0,13.9023034,100.6432195,0,,,6.0,6,0,['Covered car park'],1990000.0,1
10611729,Bangkok,Watthana,Condo,1.0,1.0,52,12.0,0.0,13.7401356399,100.5851628565,0,,20.0,17.0,20,2010,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",7200000.0,1
10827236,Bangkok,Pathum Wan,Condo,1.0,1.0,61,11.0,0.0,13.7395782382,100.543447292,3,"[['E1 Chit Lom BTS', 490], ['S1 Rachadamri BTS', 570], ['E2 Ploen Chit BTS', 700]]",,12.0,19,2004,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', '24 hours security']",3500000.0,1
10918223,Bangkok,Chatuchak,Condo,2.0,1.0,46,2.0,0.0,13.838551,100.57451,2,"[['N12 Sena Nikhom BTS', 310], ['N13 Kasetsart University BTS', 510]]",20.0,7.0,10,2014,"['Car Park', 'Covered car park', 'CCTV', 'Gymnasium room', 'Library', 'Lift lobby', 'Lounge', '24 hours security', 'Steam bath']",4300000.0,1
10922676,Samut Prakan,Mueang Samut Prakan,Townhouse,3.0,3.0,108,0.0,132.0,13.6309772,100.6168401,0,,,13.0,6,0,['24 hours security'],3230000.0,1
10892608,Bangkok,Prawet,Townhouse,4.0,2.0,117,0.0,76.0,13.6759375,100.6940625,0,,3.0,1.0,4,0,[],3600000.0,1
10720889,Nonthaburi,Bang Bua Thong,Townhouse,4.0,3.0,110,0.0,128.0,13.9153875,100.3984844,0,,,7.0,7,0,"['Covered car park', ""Children's Playground"", 'Community Garden', 'Community Plaza', 'Playground', '24 hours security']",2900000.0,1
10754391,Bangkok,Chatuchak,Condo,1.0,1.0,40,6.0,0.0,13.810435,100.567543,3,"[['BL15 Lat Phrao MRT', 780], ['N9 Ha Yaek Lat Phrao BTS', 920], ['BL14 Phahon Yothin MRT', 960]]",,12.0,20,2017,"['Covered car park', 'Club', 'Clubhouse', 'CCTV', 'Fitness corner', 'Library', 'Pavillion', '24 hours security', 'Sky Lounge', 'Swimming pool']",4390000.0,1
10561994,Bangkok,Huai Khwang,Condo,2.0,1.0,60,2.0,0.0,13.775817,100.575734,1,"[['BL18 Huai Khwang MRT', 340]]",,20.0,20,2014,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",3650000.0,1
7616895,Bangkok,Phra Khanong,Condo,1.0,1.0,35,24.0,0.0,13.681451,100.609938,1,"[['E12 Udom Suk BTS', 240]]",,11.0,14,2017,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Function room', 'Game room', 'Gymnasium room', 'Library', 'Lift lobby', 'Lounge', '24 hours security', 'Swimming pool', 'Wading pool']",5400000.0,1
10906912,Bangkok,Suan Luang,Condo,1.0,1.0,23,7.0,0.0,13.743283,100.603216,1,"[['A5 Ramkhamhaeng Airport Link', 390]]",,9.0,8,2018,"['BBQ pits', 'Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Function room', 'Game room', 'Gymnasium room', 'Lift lobby', 'Sauna', '24 hours security', 'Sky Lounge', 'Swimming pool', 'Wading pool']",1780000.0,1
10540762,Bangkok,Watthana,Condo,1.0,1.0,44,10.0,0.0,13.740195,100.57825,0,,20.0,18.0,20,2015,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Library', 'Lift lobby', 'Putting Green', '24 hours security', 'Swimming pool']",6300000.0,1
10980009,Bangkok,Bang Rak,Condo,1.0,1.0,52,16.0,0.0,13.7312279445,100.5221258679,1,"[['BL27 Sam Yan MRT', 830]]",,13.0,20,2023,"['Car Park', 'CCTV', 'Fitness corner', 'Jacuzzi', 'Meeting room', 'Sauna', '24 hours security', 'Sky Lounge', 'Swimming pool', 'Wading pool']",5950000.0,1
9855083,Bangkok,Huai Khwang,Condo,2.0,1.0,60,5.0,0.0,13.775817,100.575734,1,"[['BL18 Huai Khwang MRT', 340]]",,20.0,20,2014,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",3890000.0,1
9840544,Bangkok,Bangkok Yai,Condo,1.0,1.0,28,8.0,0.0,13.732507,100.467091,3,"[['BL01 Tha Phra MRT', 810], ['BL02 Charan 13 MRT', 940], ['BL33 Bang Phai MRT', 950]]",,3.0,1,2016,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Gymnasium room', 'Lift lobby', 'Lounge', 'Open car park', '24 hours security', 'Swimming pool']",1590000.0,1
10724511,Nonthaburi,Pak Kret,Condo,1.0,1.0,34,6.0,0.0,13.9066980718,100.5249365681,0,,10.0,7.0,10,2016,"['Car Park', 'CCTV', 'Fitness corner', 'Gymnasium room', 'Jogging track', 'Lift lobby', '24 hours security', 'Swimming pool']",2100000.0,1
11010958,Bangkok,Bueng Kum,Condo,1.0,1.0,39,5.0,0.0,13.8252937333,100.6306763459,0,,20.0,8.0,20,2010,"['Car Park', 'CCTV', 'Gymnasium room', 'Lift lobby', '24 hours security', 'Swimming pool']",2700000.0,1
10818702,Bangkok,Bueng Kum,Condo,1.0,1.0,26,6.0,0.0,13.776403,100.661409,0,,20.0,7.0,10,2019,"['Covered car park', 'Club', 'Clubhouse', 'CCTV', 'Fitness corner', 'Pavillion', '24 hours security', 'Swimming pool']",1860000.0,1
10848712,Bangkok,Watthana,Condo,2.0,1.0,119,10.0,0.0,13.743154,100.573438,0,,20.0,12.0,13,1994,"['Car Park', 'CCTV', 'Gymnasium room', 'Lift lobby', '24 hours security', 'Swimming pool']",7200000.0,1
10986761,Bangkok,Bang Kapi,Condo,2.0,2.0,55,2.0,0.0,13.7706364,100.6301829,0,,19.0,15.0,6,2010,"['Covered car park', 'CCTV', '24 hours security']",2790000.0,1
10975031,Nonthaburi,Bang Kruai,Detached House,3.0,3.0,179,0.0,336.0,13.8213363,100.4424658,0,,5.0,7.0,8,0,[],8580000.0,1
10114191,Bangkok,Watthana,Condo,1.0,1.0,43,10.0,0.0,13.722653,100.583041,2,"[['E7 Ekkamai BTS', 410], ['E6 Thong Lo BTS', 590]]",,19.0,20,2013,"['Car Park', 'CCTV', 'Fitness corner', 'Function room', 'Gymnasium room', 'Lift lobby', '24 hours security', 'Swimming pool']",6200000.0,1
10716249,Bangkok,Sai Mai,Townhouse,3.0,2.0,72,0.0,76.0,13.921263,100.663648,0,,14.0,8.0,4,2017,"['Community Garden', 'CCTV', '24 hours security']",2500000.0,1
10620204,Bangkok,Khlong Toei,Condo,2.0,1.0,47,16.0,0.0,13.711724,100.594785,2,"[['E8 Phra Khanong BTS', 550], ['E9 On Nut BTS', 980]]",,20.0,17,2018,"['Covered car park', 'CCTV', 'Fitness corner', 'Pool Deck', 'Roof Terrace', 'Sauna', '24 hours security', 'Swimming pool']",5700000.0,1
11028835,Nonthaburi,Mueang Nonthaburi,Detached House,3.0,3.0,160,0.0,240.0,13.8659345374,100.494220187,1,"[['PP09 Yaek Nonthaburi 1 MRT', 20]]",,6.0,15,0,[],7890000.0,1
10891387,Bangkok,Nong Khaem,Detached House,2.0,2.0,120,0.0,72.0,13.6958125,100.3408125,0,,17.0,11.0,4,0,[],3708000.0,1
10675303,Samut Prakan,Mueang Samut Prakan,Condo,1.0,1.0,32,7.0,0.0,13.6593142974,100.5975552692,1,"[['E14 Bearing BTS', 460]]",,7.0,20,2017,"['BBQ pits', 'Car Park', 'Covered car park', 'Clubhouse', 'CCTV', 'Fitness corner', 'Function room', 'Gymnasium room', 'Jogging track', 'Library', 'Lift lobby', 'Multi-purpose hall', 'Open car park', '24 hours security', 'Sky Lounge', 'Swimming pool', 'Wading pool']",2100000.0,1
10901106,Samut Prakan,Bang Phli,Townhouse,3.0,2.0,230,0.0,336.0,13.576934,100.724976,0,,,7.0,1,0,"['CCTV', '24 hours security']",4590000.0,1
10880059,Bangkok,Khan Na Yao,Condo,1.0,1.0,22,14.0,0.0,13.8366642188,100.6621166098,0,,20.0,19.0,13,2012,"['Car Park', 'Covered car park', 'CCTV', 'Gymnasium room', 'Launderette', 'Lift lobby', 'Mini-Mart', 'Playground', '24 hours security', 'Swimming pool']",990000.0,1
